violation_type,frame,track_id,leader_track_id,class_name,lane,d
Tailgating,191,131,1,motorcycle,Outer,0.08561275659724635
Tailgating,191,1,126,person,Outer,0.4211049631483494
Tailgating,191,126,37,car,Outer,2.7856175760899617
Tailgating,191,86,120,motorcycle,Outer,0.1449123543106281
Tailgating,191,120,108,car,Outer,1.5707939220844744
Tailgating,192,109,22,car,Outer,1.3259184724921727
Tailgating,192,22,129,car,Outer,0.018963551908291187
Tailgating,192,129,111,car,Outer,1.021463542919126
Tailgating,192,88,131,car,Outer,3.366948984070948
Tailgating,192,131,1,motorcycle,Outer,0.10161353588060361
Tailgating,192,1,126,person,Outer,0.39359467658513386
Tailgating,192,126,37,car,Outer,2.8008123193764787
Tailgating,192,120,108,car,Outer,1.5918570028369492
Tailgating,193,109,22,car,Outer,1.3364808480594412
Tailgating,193,22,111,car,Outer,1.0719809370888567
Tailgating,193,111,88,car,Outer,3.9937762336172415
Tailgating,193,88,131,car,Outer,3.3151204106718293
Tailgating,193,131,1,motorcycle,Outer,0.16319592079144327
Tailgating,193,1,126,person,Outer,0.3836271155232533
Tailgating,193,126,37,car,Outer,2.7880474171240266
Tailgating,193,120,108,car,Outer,1.6160452844385043
Tailgating,194,109,22,car,Outer,1.3529971209344842
Tailgating,194,22,111,car,Outer,1.0643067307120202
Tailgating,194,111,88,car,Outer,3.9916620457960703
Tailgating,194,88,1,car,Outer,3.43080612930249
Tailgating,194,1,126,person,Outer,0.34442860666508424
Tailgating,194,126,37,car,Outer,2.79487569531562
Tailgating,194,120,108,car,Outer,1.6344186078126213
Tailgating,194,108,86,car,Outer,1.3144615917739362
Tailgating,195,109,22,car,Outer,1.3993197542967122
Tailgating,195,88,1,car,Outer,3.4262189699632355
Tailgating,195,1,126,person,Outer,0.29934533007535985
Tailgating,195,126,37,car,Outer,2.805009393678902
Tailgating,195,120,108,car,Outer,1.6550046261670184
Tailgating,195,108,86,car,Outer,2.283687972577372
Tailgating,196,109,22,car,Outer,1.391892767675414
Tailgating,196,88,1,car,Outer,3.439389103730992
Tailgating,196,1,126,person,Outer,0.2755380413382844
Tailgating,196,126,37,car,Outer,2.814020908202208
Tailgating,196,120,108,car,Outer,1.6762339535921762
Tailgating,196,108,86,car,Outer,2.5224624527104957
Tailgating,197,109,22,car,Outer,1.3835563920067226
Tailgating,197,88,1,car,Outer,3.4234436314750747
Tailgating,197,1,126,person,Outer,0.25515216833653204
Tailgating,197,126,37,car,Outer,2.8144163451636817
Tailgating,197,120,108,car,Outer,1.695837966441366
Tailgating,198,109,22,car,Outer,1.3667412617471095
Tailgating,198,88,1,car,Outer,3.428185612154309
Tailgating,198,1,126,person,Outer,0.23189441039957673
Tailgating,198,126,37,car,Outer,2.7904588227264724
Tailgating,198,120,108,car,Outer,1.7208937031638867
Tailgating,199,109,22,car,Outer,1.3526821249894896
Tailgating,199,88,1,car,Outer,3.4262804562276914
Tailgating,199,1,126,person,Outer,0.2152226175930288
Tailgating,199,126,37,car,Outer,2.7859498884963023
Tailgating,199,120,108,car,Outer,1.7406105501149178
Tailgating,200,109,22,car,Outer,1.3596303364476603
Tailgating,200,88,1,car,Outer,3.4379253739946996
Tailgating,200,1,126,person,Outer,0.1973219066475884
Tailgating,200,114,120,person,Outer,3.6072012529165103
Tailgating,201,109,22,car,Outer,1.382187341119315
Tailgating,201,88,1,car,Outer,3.4357320304041283
Tailgating,201,1,126,person,Outer,0.17781122343508698
Tailgating,201,126,37,car,Outer,2.7850710448719966
Tailgating,201,37,114,car,Outer,3.9991964531364808
Tailgating,201,114,120,person,Outer,3.5664296794368675
Tailgating,201,120,108,car,Outer,1.7569690073427973
Tailgating,202,109,22,car,Outer,1.3956135328187902
Tailgating,202,88,1,car,Outer,3.4225808637795088
Tailgating,202,1,126,person,Outer,0.1697733997824544
Tailgating,202,126,37,car,Outer,2.805552038098204
Tailgating,202,114,120,person,Outer,3.5217962601019868
Tailgating,202,120,108,car,Outer,1.777038310761745
Tailgating,203,109,22,car,Outer,1.4026667568669504
Tailgating,203,1,126,person,Outer,0.141179135133468
Tailgating,203,126,37,car,Outer,2.837252273924179
Tailgating,203,114,120,person,Outer,3.4654273187330142
Tailgating,203,120,108,car,Outer,1.818661805114053
Tailgating,204,109,22,car,Outer,1.4102546135799987
Tailgating,204,88,1,car,Outer,3.4236010381743105
Tailgating,204,1,126,person,Outer,0.09611864449800363
Tailgating,204,114,120,person,Outer,3.4338367120123596
Tailgating,204,120,108,car,Outer,1.8359101309214225
Tailgating,205,109,22,car,Outer,1.4073577697830102
Tailgating,205,88,1,car,Outer,3.440996179422062
Tailgating,206,109,22,car,Outer,1.3909547036054344
Tailgating,206,88,126,car,Outer,3.7581693888353076
Tailgating,207,109,22,car,Outer,1.3806315236471003
Tailgating,207,88,126,car,Outer,3.7470910610322314
Tailgating,208,109,22,car,Outer,1.385789909173185
Tailgating,208,88,126,car,Outer,3.481495889376182
Tailgating,209,109,22,car,Outer,1.3882800605734589
Tailgating,209,88,126,car,Outer,3.5297417635568267
Tailgating,210,109,22,car,Outer,1.387831454661202
Tailgating,210,88,126,car,Outer,3.259731600232459
Tailgating,210,126,37,car,Outer,2.925146322870825
Tailgating,211,109,22,car,Outer,1.3934636723947358
Tailgating,211,88,126,car,Outer,3.0781769077813177
Tailgating,211,126,37,car,Outer,2.9330763100535857
Tailgating,212,109,22,car,Outer,1.3985675542197573
Tailgating,212,126,37,car,Outer,2.9268618382832847
Tailgating,213,109,22,car,Outer,1.4169329464594225
Tailgating,213,126,37,car,Outer,2.9278866420880054
Tailgating,214,109,22,car,Outer,1.421985670324611
Tailgating,214,88,126,car,Outer,3.283485863189639
Tailgating,214,126,37,car,Outer,2.937585291524696
Tailgating,215,109,22,car,Outer,1.4044189830209894
Tailgating,215,88,126,car,Outer,3.372431028787634
Tailgating,215,126,37,car,Outer,2.95416704408401
Tailgating,216,109,22,car,Outer,1.4025577146134158
Tailgating,216,88,126,car,Outer,3.390377487184986
Tailgating,216,126,37,car,Outer,2.9676826504101705
Tailgating,217,109,22,car,Outer,1.4036870383763806
Tailgating,217,88,126,car,Outer,3.427539468956682
Tailgating,217,126,37,car,Outer,2.995101230661868
Tailgating,218,109,22,car,Outer,1.421843125727928
Tailgating,218,88,126,car,Outer,3.451118553410749
Tailgating,218,126,37,car,Outer,3.016424393456043
Tailgating,219,109,22,car,Outer,1.4308115639286314
Tailgating,219,88,126,car,Outer,3.46038185039638
Tailgating,219,126,37,car,Outer,3.023925463118735
Tailgating,220,88,126,car,Outer,3.477982673600105
Tailgating,220,126,37,car,Outer,3.0254907198623298
Tailgating,221,88,126,car,Outer,3.4688946507059697
Tailgating,221,126,37,car,Outer,3.0308353207336047
Tailgating,222,22,148,car,Outer,0.5332940220752649
Tailgating,222,88,126,car,Outer,3.4660925631283095
Tailgating,223,126,37,car,Outer,3.0273686988088047
Tailgating,224,22,148,car,Outer,0.521468034164404
Tailgating,225,22,148,car,Outer,0.5596728154706403
Tailgating,225,126,37,car,Outer,3.072021975519291
Tailgating,230,88,126,car,Outer,3.390992007070999
Tailgating,230,126,37,car,Outer,3.1381561317348785
Tailgating,231,22,148,car,Outer,0.5575978517188026
Tailgating,231,126,37,car,Outer,3.143968410675804
Tailgating,238,126,37,car,Outer,3.1532248531048426
Tailgating,239,126,37,car,Outer,3.1599017728624026
Tailgating,240,126,37,car,Outer,3.249503236885448
Tailgating,241,126,37,car,Outer,3.3150759142071053
Tailgating,243,126,37,car,Outer,3.2754037698581886
Tailgating,244,126,37,car,Outer,3.2984688912667175
Tailgating,245,126,37,car,Outer,3.324091863873508
