violation_type,frame,track_id,leader_track_id,class_name,lane,d
Vehicle Stoppage,160,22,,car,Outer,0.8247908159042472
Vehicle Stoppage,161,22,,car,Outer,0.8571181132142779
Vehicle Stoppage,162,22,,car,Outer,0.8635628176340125
Vehicle Stoppage,163,22,,car,Outer,0.8858861552140896
Vehicle Stoppage,164,22,,car,Outer,0.9353317379411442
Vehicle Stoppage,165,22,,car,Outer,0.9929791790364993
Vehicle Stoppage,300,22,,car,Outer,0.9548403426751483
Vehicle Stoppage,301,22,,car,Outer,0.904019911285141
Vehicle Stoppage,302,22,,car,Outer,0.8483373680323194
Vehicle Stoppage,303,22,,car,Outer,0.8055539336382154
Vehicle Stoppage,304,22,,car,Outer,0.726407413233094
Vehicle Stoppage,305,22,,car,Outer,0.6511069420609782
Vehicle Stoppage,306,22,,car,Outer,0.5856812529012668
Vehicle Stoppage,307,22,,car,Outer,0.528385332877435
Vehicle Stoppage,308,22,,car,Outer,0.47638667067834434
Vehicle Stoppage,309,22,,car,Outer,0.41826331419335033
Vehicle Stoppage,310,22,,car,Outer,0.37067733947464215
Vehicle Stoppage,311,22,,car,Outer,0.3392973474697385
Vehicle Stoppage,312,22,,car,Outer,0.3011954348923697
Vehicle Stoppage,313,22,,car,Outer,0.2699169131418
Vehicle Stoppage,314,22,,car,Outer,0.23534470463555882
Vehicle Stoppage,315,22,,car,Outer,0.19572761685567017
Vehicle Stoppage,316,22,,car,Outer,0.16226213359869532
Vehicle Stoppage,317,22,,car,Outer,0.12452248792888547
Vehicle Stoppage,318,22,,car,Outer,0.09682685577875152
Vehicle Stoppage,319,22,,car,Outer,0.07716534196127746
Vehicle Stoppage,320,22,,car,Outer,0.05885728502063454
Vehicle Stoppage,321,22,,car,Outer,0.03338023367204269
Vehicle Stoppage,322,22,,car,Outer,0.017727944043229908
Vehicle Stoppage,323,22,,car,Outer,0.016668833192517885
Vehicle Stoppage,324,22,,car,Outer,0.0317647603485363
Vehicle Stoppage,325,22,,car,Outer,0.041907636535596066
Vehicle Stoppage,326,22,,car,Outer,0.0568472514726978
Vehicle Stoppage,327,22,,car,Outer,0.06524760532004699
Vehicle Stoppage,328,22,,car,Outer,0.07643088381014744
